"Record ID","Company name","DHC ID","Street Address","City","State/Region","Postal Code","Country/Region","Phone Number","HQ Unique Address","Lifecycle Stage","Created by user ID","Website URL","# Customers Gemini","# Customers Tricura","# Prospects Gemini","# Prospects Tricura"
"40572993137","Total Care Group","28874","890 10th St N Ste 110","Kalamazoo","MI","49009","United States","(888) 527-0012","890 10th St N Ste 110, Kalamazoo, MI, 49009","Lead","Kolby Mangino","https://beaconspecialized.org/wisconsin/","0.0","0.0","0.0","0.0"
"40545195399","Veritas Healthcare Group","29002","2429 Lawndale Dr","Tupelo","MS","38801","United States","(662) 840-6163","2429 Lawndale Dr, Tupelo, MS, 38801","Lead","Kolby Mangino","https://veritashcg.com/","0.0","0.0","0.0","0.0"
"40548446987","Petersen Health Care","582115","830 W Trailcreek Dr","Peoria","IL","61614","United States","(309) 691-8113","830 W Trailcreek Dr, Peoria, IL, 61614","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40532247711","Legacy Health Services","1063919","300 N McCombs St","Martin","TN","38237","United States","(731) 588-4302","300 N McCombs St, Martin, TN, 38237","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40511458191","Villas of Holly Brook","952118","1941 U.S. Hwy 40","Brazil","IN","47834","United States","(217) 686-4321","1941 U.S. Hwy 40, Brazil, IN, 47834","Lead","Kolby Mangino","www.villasofhollybrook.com/find-your-community/","0.0","0.0","0.0","0.0"
"40520734825","Time to Treasure AFH S Corporation","29795","826 Park Ave","Racine","WI","53403","United States","(262) 456-7580","826 Park Ave, Racine, WI, 53403","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40500644896","Vermont Catholic Charities","29249","55 Joy Dr","South Burlington","VT","05403","United States","(802) 658-6111","55 Joy Dr, South Burlington, VT, 05403","Lead","Kolby Mangino","https://vtcatholiccharities.org/contact-us","0.0","0.0","0.0","0.0"
"40490596363","Sanctuary by Strive (FKA Sutton Homes)","969518","7255 Strive Pl","Fern Park","FL","32730","United States","(407) 848-1743","7255 Strive Pl, Fern Park, FL, 32730","Lead","Kolby Mangino","https://striveseniorliving.com/sanctuary-by-strive/","0.0","0.0","0.0","0.0"
"40479016985","Winter Growth Inc","35937","5460 Ruth Keeton Way","Columbia","MD","21044","United States","(410) 964-9616","5460 Ruth Keeton Way, Columbia, MD, 21044","Lead","Kolby Mangino","www.wintergrowthinc.org","0.0","0.0","0.0","0.0"
"40373972375","Grandmas Home","951954","6520 Miles Ln","Carmichael","CA","95608","United States","(916) 723-0138","6520 Miles Ln, Carmichael, CA, 95608","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40521511044","Peak Care Assisted Living Homes","1037690","10125 N 131st Pl","Scottsdale","AZ","85259","United States","(800) 906-1030","10125 N 131st Pl, Scottsdale, AZ, 85259","Lead","Kolby Mangino","www.peakcareliving.com/","0.0","0.0","0.0","0.0"
"40502041163","Zions Assisted Living Facilities","953044","2029 Jupiter Blvd SW","Palm Bay","FL","32908","United States","(321) 693-0282","2029 Jupiter Blvd SW, Palm Bay, FL, 32908","Lead","Kolby Mangino","https://zionsassistedliving.com/","0.0","0.0","0.0","0.0"
"40330157467","The Gardens Assisted Living Communities","965938","648 N Beaulah St","Hawkins","TX","75765","United States","(903) 769-9105","648 N Beaulah St, Hawkins, TX, 75765","Lead","Kolby Mangino","thegardensalc.com/","0.0","0.0","0.0","0.0"
"40497286244","Woodville Manor","953029","2830 Antares Dr","Riverside","CA","92503","United States","(909) 263-5252","2830 Antares Dr, Riverside, CA, 92503","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40510062389","Wynwood House Personal Care Community","954739","2350 Bernel Rd","State College","PA","16803","United States","(814) 810-7000","2350 Bernel Rd, State College, PA, 16803","Lead","Kolby Mangino","www.wynwoodhouse.us/home.html","0.0","0.0","0.0","0.0"
"40402036863","Wilf Campus for Senior Living","1011106","350 Demott Ln","Somerset","NJ","08873","United States","(732) 649-3502","350 Demott Ln, Somerset, NJ, 08873","Lead","Kolby Mangino","www.wilfcampus.org/","0.0","0.0","0.0","0.0"
"40360248930","Woodbine Senior Living","953083","329 E Brown St","East Stroudsburg","PA","18301","United States","(570) 426-4000","329 E Brown St, East Stroudsburg, PA, 18301","Lead","Kolby Mangino","https://woodbineseniorliving.com/","0.0","0.0","0.0","0.0"
"40344392988","Waterford Oaks Senior Care","966352","3385 Pontiac Lake Rd","Waterford","MI","48328","United States","(248) 682-4788","3385 Pontiac Lake Rd, Waterford, MI, 48328","Lead","Kolby Mangino","https://www.waterfordoaksseniorcare.com/","0.0","0.0","0.0","0.0"
"40339114526","Wallick Communities","36131","160 W Main St Ste 200","New Albany","OH","43054","United States","(614) 863-4640","160 W Main St Ste 200, New Albany, OH, 43054","Lead","Kolby Mangino","www.wallick.com/","0.0","0.0","0.0","0.0"
"40449385368","Williams Personal Care Home","953015","4293 Hambrick Way","Stone Mountain","GA","30083","United States","(678) 399-3253","4293 Hambrick Way, Stone Mountain, GA, 30083","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40356400933","Vista Living Communities","29950","402 Rodeo Rd","Santa Fe","NM","87505","United States","(505) 596-4661","402 Rodeo Rd, Santa Fe, NM, 87505","Lead","Kolby Mangino","https://www.vistaliving.com/Contact","0.0","0.0","0.0","0.0"
"40331397645","Wesley Woods","953097","1817 Clifton Rd NE","Atlanta","GA","30329","United States","(404) 779-6231","1817 Clifton Rd NE, Atlanta, GA, 30329","Lead","Kolby Mangino","https://www.wesleywoods.org/contact/","0.0","0.0","0.0","0.0"
"40520889682","Village Green Assisted Living","1063853","35419 1st Ave S","Federal Way","WA","98003","United States","(253) 553-3401","35419 1st Ave S, Federal Way, WA, 98003","Lead","Kolby Mangino","https://villagegreenretirement.com/living-options/assisted-living/","0.0","0.0","0.0","0.0"
"40330157466","WellQuest Living","1010426","185 S State St Ste 1200","Salt Lake City","UT","84111","United States","(385) 775-5581","185 S State St Ste 1200, Salt Lake City, UT, 84111","Lead","Kolby Mangino","https://wqliving.com/","0.0","0.0","0.0","0.0"
"40443925120","Welcome Home Personal Care Homes","952989","2366 Centerville Rosebud Rd","Loganville","GA","30052","United States","(770) 736-6643","2366 Centerville Rosebud Rd, Loganville, GA, 30052","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40329851213","Wesley Glen Ministries","952998","4580 N Mumford Rd","Macon","GA","31210","United States","(478) 471-3711","4580 N Mumford Rd, Macon, GA, 31210","Lead","Kolby Mangino","www.wesleyglenministries.com","0.0","0.0","0.0","0.0"
"40517738163","Sundale Senior Living","1109725","679 I-45 S","Huntsville","TX","77340","United States","(936) 622-3017","679 I-45 S, Huntsville, TX, 77340","Lead","Kolby Mangino","https://sundaleseniorliving.com/communities/","0.0","0.0","0.0","0.0"
"40510062388","Veranda House Assisted Living","966187","5129 E 5th St","Katy","TX","77493","United States","(281) 391-1900","5129 E 5th St, Katy, TX, 77493","Lead","Kolby Mangino","vhkaty.com","0.0","0.0","0.0","0.0"
"40513717156","Malis Place","952286","52 Camino Castenada","Camarillo","CA","93010","United States","(805) 377-3951","52 Camino Castenada, Camarillo, CA, 93010","Lead","Kolby Mangino","http://www.malisplace.com/","0.0","0.0","0.0","0.0"
"40506808626","Whiteglove Care","1100589","5037 E Broadway Rd","Mesa","AZ","85206","United States","(480) 924-4073","5037 E Broadway Rd, Mesa, AZ, 85206","Lead","Kolby Mangino","https://www.whiteglove.care/contact-us/","0.0","0.0","0.0","0.0"
"40341436513","Villa Margo","952960","2930 SW 38th Ct","Miami","FL","33134","United States","(305) 992-8858","2930 SW 38th Ct, Miami, FL, 33134","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40374283676","The Brookfield Senior Living","29625","3 Highlands Crossing Dr","Bella Vista","AR","72715","United States","(479) 855-5600","3 Highlands Crossing Dr, Bella Vista, AR, 72715","Lead","Kolby Mangino","brookfieldseniors.com/","0.0","0.0","0.0","0.0"
"40515723840","Sycamore Acres","952804","6000 Granby Rd","Derwood","MD","20855","United States","(301) 963-2337","6000 Granby Rd, Derwood, MD, 20855","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40436211337","Quail Garden","36001","813 S J St","Livermore","CA","94550","United States","(925) 449-4411","813 S J St, Livermore, CA, 94550","Lead","Kolby Mangino","https://quailgarden.com/location/","0.0","0.0","0.0","0.0"
"40494559369","Oani Home Care","952438","936 Seneca St","Santa Maria","CA","93454","United States","(805) 354-0983","936 Seneca St, Santa Maria, CA, 93454","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40330002978","Sky Residential Services Inc","29377","N94W20846 Schlei Rd","Menomonee Falls","WI","53051","United States","(414) 531-8082","N94W20846 Schlei Rd, Menomonee Falls, WI, 53051","Lead","Kolby Mangino","skyresidential.com/index.html","0.0","0.0","0.0","0.0"
"40414935363","Villa Care Homes","969579","938 W Bunny Ave","Santa Maria","CA","93458","United States","(805) 623-2939","938 W Bunny Ave, Santa Maria, CA, 93458","Lead","Kolby Mangino","https://www.villacarehomessantamaria.com/","0.0","0.0","0.0","0.0"
"40411992322","Senior Solutions Management Group","28863","3651 Peachtree Pkwy Ste E351","Suwanee","GA","30024","United States","(678) 341-1347","3651 Peachtree Pkwy Ste E351, Suwanee, GA, 30024","Lead","Kolby Mangino","https://www.ssmgrp.com/","0.0","0.0","0.0","0.0"
"40504835097","The Ridge Senior Living","1058293","2363 S Foothill Dr","Salt Lake City","UT","84109","United States","(877) 894-9008","2363 S Foothill Dr, Salt Lake City, UT, 84109","Lead","Kolby Mangino","https://theridgeseniorliving.com/","0.0","0.0","0.0","0.0"
"40414935362","The Lombardo Homes","952854","620 71st St NW","Bradenton","FL","34209","United States","(941) 580-4348","620 71st St NW, Bradenton, FL, 34209","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40373972374","Twin Oaks Garden","952923","1961 Edwin Ln","San Marcos","CA","92069","United States","(760) 471-8704","1961 Edwin Ln, San Marcos, CA, 92069","Lead","Kolby Mangino","twinoaksgardens.com/","0.0","0.0","0.0","0.0"
"40413076785","Valley Residential Services","28916","300 S Saginaw St","Saint Charles","MI","48655","United States","(989) 865-9997","300 S Saginaw St, Saint Charles, MI, 48655","Lead","Kolby Mangino","https://vrsafc.com/","0.0","0.0","0.0","0.0"
"40518668132","Valley VNA Senior Care","29956","1535 Lyon Dr","Neenah","WI","54956","United States","(920) 727-5555","1535 Lyon Dr, Neenah, WI, 54956","Lead","Kolby Mangino","www.valleyvna.org","0.0","0.0","0.0","0.0"
"40337410433","Welcome Home","1039908","27867 Hawthorne Blvd","Rancho Palos Verdes","CA","90275","United States","(310) 750-6236","27867 Hawthorne Blvd, Rancho Palos Verdes, CA, 90275","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40496357009","Villa Serena Group","36177","60 NW 33rd Ave","Miami","FL","33125","United States","(305) 602-9843","60 NW 33rd Ave, Miami, FL, 33125","Lead","Kolby Mangino","https://villaserenagroup.com/location-ii/","0.0","0.0","0.0","0.0"
"40351917623","Tuscan Blue","952917","5405 Mojave Way","Antioch","CA","94531","United States","(925) 238-0722","5405 Mojave Way, Antioch, CA, 94531","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40516964203","Zenith Care","1110183","6 Morrill Pl","Amesbury","MA","01913","United States","(978) 388-3500","6 Morrill Pl, Amesbury, MA, 01913","Lead","Kolby Mangino","https://maplewoodrehab.com/","0.0","0.0","0.0","0.0"
"40504990386","Whispering Pines of MI","35919","1409 Willow Creek Rd","Escanaba","MI","49829","United States","(906) 786-3036","1409 Willow Creek Rd, Escanaba, MI, 49829","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40373972373","WellAge Senior Communities","992294","720 S Colorado Blvd Ste 211","Denver","CO","80246","United States","(720) 531-5280","720 S Colorado Blvd Ste 211, Denver, CO, 80246","Lead","Kolby Mangino","https://wellage.com/","0.0","0.0","0.0","0.0"
"40518048846","Wintergreen Residential Care Homes","953024","3 Union St","Brandon","VT","05733","United States","(802) 465-4101","3 Union St, Brandon, VT, 05733","Lead","Kolby Mangino","brandon.org/businesses/wintergreen-residential-care-home/","0.0","0.0","0.0","0.0"
"40515879021","Windsor Manor","952086","1401 Wall St","Webster City","IA","50595","United States","(515) 832-1188","1401 Wall St, Webster City, IA, 50595","Lead","Kolby Mangino","https://www.springarborliving.com/ia/webster-city/windsor-manor-webster-city","0.0","0.0","0.0","0.0"
"40479016984","Titan SenQuest","36038","840 Apollo St Ste 100","El Segundo","CA","90245","United States","(310) 725-0120","840 Apollo St Ste 100, El Segundo, CA, 90245","Lead","Kolby Mangino","titansenquest.com/","0.0","0.0","0.0","0.0"
"40456944818","Pennys Guest Home LLC","36053","990 Rosehedge Ct","Concord","CA","94521","United States","(925) 286-0424","990 Rosehedge Ct, Concord, CA, 94521","Lead","Kolby Mangino","https://www.pennysguesthome.com/contact","0.0","0.0","0.0","0.0"
"40512476782","Professional Home Care","952528","435 E 31st St","Hialeah","FL","33013","United States","(305) 696-7364","435 E 31st St, Hialeah, FL, 33013","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40355779739","Willow Creek Assisted Living","965364","404 N Houston Lake Blvd","Centerville","GA","31028","United States","(478) 953-2183","404 N Houston Lake Blvd, Centerville, GA, 31028","Lead","Kolby Mangino","willowcreekpch.com/","0.0","0.0","0.0","0.0"
"40342382852","Willow Winds Living","35929","N372 Twinkling Star Rd","Whitewater","WI","53190","United States","(608) 575-1103","N372 Twinkling Star Rd, Whitewater, WI, 53190","Lead","Kolby Mangino","www.willowwindsliving.com","0.0","0.0","0.0","0.0"
"40518358529","The Eternal Youth Homes","952838","2218 Mermaid Dr","El Paso","TX","79936","United States","(915) 249-6079","2218 Mermaid Dr, El Paso, TX, 79936","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40506808624","Vista Care (FKA TLC Homes)","29852","708 Erie Ave Ste 201","Sheboygan","WI","53081","United States","(920) 457-0826","708 Erie Ave Ste 201, Sheboygan, WI, 53081","Lead","Kolby Mangino","https://vistacare.org/contact-us/","0.0","0.0","0.0","0.0"
"40344550567","Sunflower Senior Living","964891","6931 NW 81st Ct","Tamarac","FL","33321","United States","(954) 530-8895","6931 NW 81st Ct, Tamarac, FL, 33321","Lead","Kolby Mangino","https://sunflowerassistedliving.com/","0.0","0.0","0.0","0.0"
"40341126749","Rikmin Co Inc","36039","2537 Roycroft Ave","Long Beach","CA","90815","United States","(562) 961-9672","2537 Roycroft Ave, Long Beach, CA, 90815","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40518203710","Vitality Living (FKA Traditions Senior Living)","29922","5500 Maryland Way Ste 320","Brentwood","TN","37027","United States","(615) 538-3200","5500 Maryland Way Ste 320, Brentwood, TN, 37027","Lead","Kolby Mangino","www.vitalityseniorliving.com","0.0","0.0","0.0","0.0"
"40506808625","Viva Senior Living","1066884","100 McClellan St","Norwood","NJ","07648","United States","(877) 794-6376","100 McClellan St, Norwood, NJ, 07648","Lead","Kolby Mangino","https://www.vivaseniorliving.com/","0.0","0.0","0.0","0.0"
"40356400932","WestHaven Senior Living","29760","1440 Fairview St","Orland","CA","95963","United States","(530) 865-5299","1440 Fairview St, Orland, CA, 95963","Lead","Kolby Mangino","https://www.westhavenorland.com/","0.0","0.0","0.0","0.0"
"40515569037","Triacle (AKA Comprehensive Management Services Inc)","1110423","111 E Chickasaw Ave","Sallisaw","OK","74955","United States","(918) 774-9696","111 E Chickasaw Ave, Sallisaw, OK, 74955","Lead","Kolby Mangino","https://triacle.us/about-us/","0.0","0.0","0.0","0.0"
"40515258405","Via Tercero Homes","29480","22645 Via Tercero","Mission Viejo","CA","92691","United States","(949) 305-7357","22645 Via Tercero, Mission Viejo, CA, 92691","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40408509844","Union Court Assisted Living","966438","302 Fulton St","Saint Charles","MI","48655","United States","(989) 865-8100","302 Fulton St, Saint Charles, MI, 48655","Lead","Kolby Mangino","https://unioncourtstcharles.org/","0.0","0.0","0.0","0.0"
"40384964137","Village Care Homes Assisted Living","981698","414 Stephen F Austin Dr","Conroe","TX","77302","United States","(832) 674-0100","414 Stephen F Austin Dr, Conroe, TX, 77302","Lead","Kolby Mangino","www.villagecarehomes.com/","0.0","0.0","0.0","0.0"
"40351609781","Victorias Dedicated Retirement Homes","952951","6890 SW 39th Ter","Miami","FL","33155","United States","(786) 332-3277","6890 SW 39th Ter, Miami, FL, 33155","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40502041162","The Retreat Communities","965711","2835 Patterson Rd","Grand Junction","CO","81506","United States","(970) 243-7224","2835 Patterson Rd, Grand Junction, CO, 81506","Lead","Kolby Mangino","www.theretreatcommunitiesofco.com/","0.0","0.0","0.0","0.0"
"40331397644","Upper River Personal Care Homes","952930","130 Upper River Rd","Covington","GA","30016","United States","(855) 217-0156","130 Upper River Rd, Covington, GA, 30016","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40413076783","St Charles Lwanga House","952737","2208 Jolly Pond Rd","Williamsburg","VA","23188","United States","(757) 564-7371","2208 Jolly Pond Rd, Williamsburg, VA, 23188","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40518513308","The Barclay","1097646","1255 Pasadena Ave S","South Pasadena","FL","33707","United States","(727) 877-7029","1255 Pasadena Ave S, South Pasadena, FL, 33707","Lead","Kolby Mangino","https://www.qslmseniorliving.com/senior-living/fl/south-pasadena/pasadena-ave-s/","0.0","0.0","0.0","0.0"
"40339114525","Visions Senior Living","952972","1510 E Broadway Ave","Apache Junction","AZ","85119","United States","(602) 962-4377","1510 E Broadway Ave, Apache Junction, AZ, 85119","Lead","Kolby Mangino","visionsassistedliving.com/","0.0","0.0","0.0","0.0"
"40371961458","Lakeview Terrace Home Health Services","1057017","331 Raintree Dr","Altoona","FL","32702","United States","(800) 343-1588","331 Raintree Dr, Altoona, FL, 32702","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40332944022","Soh Assisted Living","952714","6580 Hidden Brook Trl","Atlanta","GA","30349","United States","(770) 964-1811","6580 Hidden Brook Trl, Atlanta, GA, 30349","Lead","Kolby Mangino","","0.0","0.0","0.0","0.0"
"40516809005","The Arbors Assisted Living Communities","29607","1515 Veterans Memorial Hwy","Islandia","NY","11749","United States","(631) 582-3600","1515 Veterans Memorial Hwy, Islandia, NY, 11749","Lead","Kolby Mangino","https://thearborsassistedliving.com/","0.0","0.0","0.0","0.0"
"40516808080","Terrace Communities Premier Assisted Living & Memory Care","965786","600 Commerce Dr","Scarborough","ME","04074","United States","(802) 362-4660","600 Commerce Dr, Scarborough, ME, 04074","Lead","Kolby Mangino","https://www.terracecommunities.com/our-communities","0.0","0.0","0.0","0.0"
